Name,Party
Rep. Ro Khanna,Democrat
Rep. Jennifer Kiggans,Republican
Rep. Kevin Kiley,Republican
Rep. Young Kim,Republican
Rep. Kimberlyn King-Hinds,Republican
Rep. Brad Knott,Republican
Rep. Raja Krishnamoorthi,Democrat
Rep. David Kustoff,Republican
Rep. Darin LaHood,Republican
Rep. Nick LaLota,Republican
Rep. Greg Landsman,Democrat
Rep. Nicholas Langworthy,Republican
Rep. Rick Larsen,Democrat
Rep. John Larson,Democrat
Rep. George Latimer,Democrat
Rep. Robert Latta,Republican
Rep. Michael Lawler,Republican
Rep. Laurel Lee,Republican
Rep. Summer Lee,Democrat
Rep. Susie Lee,Democrat
Rep. Teresa Leger Fernandez,Democrat
Rep. Julia Letlow,Republican
Rep. Mike Levin,Democrat
Rep. Sam Liccardo,Democrat
Rep. Ted Lieu,Democrat
Rep. Zoe Lofgren,Democrat
Rep. Barry Loudermilk,Republican
Rep. Frank Lucas,Republican
Rep. Anna Paulina Luna,Republican
Rep. Morgan Luttrell,Republican
Rep. Stephen Lynch,Democrat
Rep. Nancy Mace,Republican
Rep. Ryan Mackenzie,Republican
Rep. Seth Magaziner,Democrat
Rep. Nicole Malliotakis,Republican
Rep. Celeste Maloy,Republican
Rep. Tracey Mann,Republican
Rep. John Mannion,Democrat
Rep. Thomas Massie,Republican
Rep. Brian Mast,Republican
Rep. Doris Matsui,Democrat
Rep. Lucy McBath,Democrat
Rep. Sarah McBride,Democrat
Rep. Michael McCaul,Republican
Rep. Lisa McClain,Republican
Rep. April Delaney McClain,Democrat
Rep. Jennifer McClellan,Democrat
Rep. Tom McClintock,Republican
Rep. Betty McCollum,Democrat
Rep. Richard McCormick,Republican
Rep. Kristen McDonald Rivet,Democrat
Rep. Addison McDowell,Republican
Rep. Morgan McGarvey,Democrat
Rep. James McGovern,Democrat
Rep. John McGuire,Republican
Rep. LaMonica McIver,Democrat
Rep. Gregory Meeks,Democrat
Rep. Christian Menefee,Democrat
Rep. Robert Menendez,Democrat
Rep. Grace Meng,Democrat
Rep. Mark Messmer,Republican
Rep. Daniel Meuser,Republican
Rep. Kweisi Mfume,Democrat
Rep. Mariannette Miller-Meeks,Republican
Rep. Carol Miller,Republican
Rep. Mary Miller,Republican
Rep. Max Miller,Republican
Rep. Riley Miller,Republican
Rep. Dave Min,Democrat
Rep. John Moolenaar,Republican
Rep. Blake Moore,Republican
Rep. Gwen Moore,Democrat
Rep. Tim Moore,Republican
Rep. Nathaniel Moran,Republican
Rep. Joseph Morelle,Democrat
Rep. Kelly Morrison,Democrat
Rep. Jared Moskowitz,Democrat
Rep. Seth Moulton,Democrat
Rep. James Moylan,Republican
Rep. Frank Mrvan,Democrat
Rep. Kevin Mullin,Democrat
Rep. Gregory Murphy,Republican
Rep. Jerrold Nadler,Democrat
Rep. Richard Neal,Democrat
Rep. Joe Neguse,Democrat
Rep. Troy Nehls,Republican
Rep. Steven Nelson,Republican
Rep. Dan Newhouse,Republican
Rep. Eleanor Norton,Democrat
Rep. Donald Norcross,Democrat
Rep. Zachary Nunn,Republican
Rep. Jay Obernolte,Republican
Rep. Alexandria Ocasio-Cortez,Democrat
Rep. Andrew Ogles,Republican
Rep. Johnny Olszewski,Democrat
Rep. Robert Onder,Republican
Rep. Ilhan Omar,Democrat
Rep. Burgess Owens,Republican
Rep. Frank Pallone,Democrat
Rep. Gary Palmer,Republican
Rep. Jimmy Panetta,Democrat
Rep. Chris Pappas,Democrat
Rep. Jimmy Patronis,Republican
Rep. Nancy Pelosi,Democrat
Rep. Marie Perez,Democrat
Rep. Scott Perry,Republican
Rep. Scott Peters,Democrat
Rep. Brittany Pettersen,Democrat
Rep. August Pfluger,Republican
Rep. Chellie Pingree,Democrat
Rep. Stacey Plaskett,Democrat
Rep. Mark Pocan,Democrat
Rep. Nellie Pou,Democrat
Rep. Ayanna Pressley,Democrat
Rep. Mike Quigley,Democrat
Rep. Aumua Amata Radewagen,Republican
Rep. Delia Ramirez,Democrat
Rep. Emily Randall,Democrat
